Track_ID,Main_Field,Sub_Track,Difficulty_Level,Avg_Salary_USD,Required_Skills,Programming_Languages,Learning_Time_Months,Job_Demand_Score,Certification_Recommended,Tools_Used,Industry_Using_It,Remote_Friendly,Growth_Rate_Percentage,Country_Demand,Gender,Age
1,DevOps,Cloud DevOps,Advanced," $161,958.00 ","TensorFlow, Systems Design, Cloud","MATLAB, Java",30,34,CCNA,"Unity, Postman, PyTorch",Education,Yes,9.19,USA,Male,52
2,Game Development,Unreal Developer,Advanced," $150,268.00 ","Docker, PyTorch, Linux","Python, Go",22,94,AWS Solutions Architect,"PyTorch, Kubernetes, TensorFlow",Tech,No,6.32,UK,Female,54
3,Embedded Systems,Firmware Engineer,Advanced," $166,324.00 ","Cloud, Problem Solving, Data Structures","Swift, Go",25,22,Azure Administrator,"Jira, Postman, Docker",Retail,No,1.72,France,Male,36
4,Game Development,Unreal Developer,Beginner," $40,769.00 ","Problem Solving, Linux, Networks","Python, Rust",25,49,CCNA,"Kubernetes, Postman, TensorFlow",Tech,No,3.73,UK,Male,46
5,Networking,Systems Admin,Beginner," $45,311.00 ","Algorithms, Cybersecurity, Problem Solving","MATLAB, C++",22,52,Kubernetes CKA,"Git, PyTorch, Postman",Education,No,4.69,India,Male,24
6,Blockchain,Smart Contracts,Beginner," $170,608.00 ","Linux, Problem Solving, Docker","MATLAB, SQL",28,78,CEH,"MongoDB, Git, VS Code",Healthcare,Yes,5.7,Canada,Female,45
7,Blockchain,Crypto Security,Intermediate," $170,523.00 ","Algorithms, Kubernetes, APIs","JavaScript, MATLAB",17,34,Oracle DBA,"Postman, Kubernetes, Unity",Retail,No,6.29,UAE,Male,26
8,Embedded Systems,IoT Developer,Intermediate," $124,654.00 ","Linux, PyTorch, Docker","Swift, Kotlin",4,70,TensorFlow Developer,"Unity, MongoDB, MySQL",Manufacturing,No,8.64,Australia,Male,45
9,Data Science,Data Analytics,Advanced," $127,313.00 ","Docker, Kubernetes, Algorithms","Rust, C++",5,79,CEH,"Jira, PyTorch, Postman",Education,No,7.41,UK,Male,23
10,UI/UX,UI Designer,Advanced," $108,148.00 ","TensorFlow, PyTorch, Kubernetes","SQL, Rust",3,79,AWS Solutions Architect,"Kubernetes, Unity, Jira",Retail,No,2.78,Australia,Female,46
11,Web Development,Backend,Advanced," $57,159.00 ","Systems Design, PyTorch, Linux","Rust, Kotlin",15,55,Azure Administrator,"MySQL, Jira, Docker",Finance,Yes,3.41,France,Male,34
12,Game Development,Game Designer,Beginner," $59,457.00 ","Data Structures, TensorFlow, Problem Solving","C++, JavaScript",7,73,None,"VS Code, MySQL, MongoDB",Manufacturing,No,7.24,Australia,Male,33
13,Web Development,Backend,Advanced," $49,692.00 ","Problem Solving, Algorithms, APIs","Go, SQL",19,63,Oracle DBA,"MongoDB, Postman, Unity",Manufacturing,Yes,11.36,Australia,Male,40
14,Cybersecurity,SOC Analyst,Advanced," $139,299.00 ","Problem Solving, Algorithms, Kubernetes","C++, Swift",15,67,None,"TensorFlow, Git, VS Code",Healthcare,No,4.93,India,Male,48
15,Data Science,Big Data,Beginner," $80,397.00 ","Cloud, Linux, Algorithms","MATLAB, Rust",24,81,Kubernetes CKA,"Kubernetes, Jira, MongoDB",Manufacturing,No,4.92,Germany,Female,20
16,Artificial Intelligence,Computer Vision,Intermediate," $63,247.00 ","Data Structures, Problem Solving, PyTorch","Swift, Rust",19,72,Azure Administrator,"MongoDB, MySQL, Unity",Retail,No,7.66,France,Male,38
17,Cloud Computing,GCP Engineer,Intermediate," $179,643.00 ","Cybersecurity, Problem Solving, TensorFlow","Swift, Python",30,34,AWS Solutions Architect,"TensorFlow, Postman, Docker",Healthcare,Yes,3.24,Australia,Female,43
